wiki-ref,old_content,old_time,new_content,new_time
1224503141,[[Image:Spallation.gif|thumb|Spallation as a result of impact can occur with or without penetration of the impacting object. Click on image for animation.]]  ,2023-12-29T23:29:51Z,[[Image:Spallation.gif|thumb|Spallation as a result of impact can occur with or without penetration of the impacting object]]  ,2024-05-18T20:13:48Z
1224499301,"* A daughter, Evelin or [[Evelina van Millingen|Evelina]] (1831–1900), who married Count Alvaro Pisani.<ref>{{cite book|author=Warren Adelson|title=Sargent's Venice|url=https://books.google.com/books?id=jftHZip2xpcC&pg=PA150|year=2006|publisher=Yale University Press|isbn=0-300-11717-5|page=150}}</ref><ref>{{cite book|author=Cesare G. De Michelis|title=Protocolli Dei Savi Di Sion|url=https://books.google.com/books?id=9uG1jsrOenwC&pg=PA166|year=2004|publisher=U of Nebraska Press|isbn=0-8032-1727-7|page=166}}</ref> [[Henry James]] wrote in a letter that she ""makes one believe in the romantic heroines of D'Israeli and Bulwer"".<ref>{{cite book|author=Henry James|title=Letters|url=https://books.google.com/books?id=cLMS967ykasC&pg=PA170|year=1980|publisher=Harvard University Press|isbn=978-0-674-38782-9|page=170}}</ref>",2024-05-18T19:48:51Z,"* A daughter, Evelin or [[Evelina van Millingen|Evelina]] (1831–1900), who married Count Alvaro Pisani.<ref>Judith Harris, ''Evelina: a Victorian heroine in Venice'', Stroud (UK): Fonthill Media, 2017.</ref><ref>{{cite book|author=Warren Adelson|title=Sargent's Venice|url=https://books.google.com/books?id=jftHZip2xpcC&pg=PA150|year=2006|publisher=Yale University Press|isbn=0-300-11717-5|page=150}}</ref><ref>{{cite book|author=Cesare G. De Michelis|title=Protocolli Dei Savi Di Sion|url=https://books.google.com/books?id=9uG1jsrOenwC&pg=PA166|year=2004|publisher=U of Nebraska Press|isbn=0-8032-1727-7|page=166}}</ref> [[Henry James]] wrote in a letter that she ""makes one believe in the romantic heroines of D'Israeli and Bulwer"".<ref>{{cite book|author=Henry James|title=Letters|url=https://books.google.com/books?id=cLMS967ykasC&pg=PA170|year=1980|publisher=Harvard University Press|isbn=978-0-674-38782-9|page=170}}</ref>",2024-05-18T19:52:55Z
1224503123,| Opera singer,2024-05-18T20:13:10Z,| Singer,2024-05-18T20:13:42Z
1223172916,"Having left Southern Music in 1969, David Myers and [[John Worsley (songwriter)|John Worsley]] were now employed as songwrtiters  for Barery Class' [[Trend Records (UK label)|Trend]] record label.<ref>Seventies Sevens - [https://www.7tt77.co.uk/TREND.html TREND]</ref>",2024-05-10T09:15:08Z,"Having left Southern Music in 1969, David Myers and [[John Worsley (songwriter)|John Worsley]] were now employed as songwrtiters  for Barry Class' [[Trend Records (UK label)|Trend]] record label.<ref>Seventies Sevens - [https://www.7tt77.co.uk/TREND.html TREND]</ref>",2024-05-10T10:38:08Z
1223933762,*Transinstrian districts who not participate in Divizia Nationala: [[Grigoriopol District|Grigoriopol]],2024-05-12T11:35:47Z,*Transinstrian districts which have never participated in Divizia Nationala: [[Grigoriopol District|Grigoriopol]],2024-05-15T07:32:17Z
1224494299,"The earliest archaeological evidence of lost wax casting in China was found in the sixth century BC. The Cemetery of Chu State in Xichuan, Henan Province.<ref>{{cite book |last1=Lawton |first1=Thomas |title=New Perspectives on Chu Culture During the Eastern Zhou Period}}</ref> Bronze Jin, cast using traditional piece-mold techniques, is further embellished by adding prefabricated ornate open worked handles, which are produced through a [[Lost-wax casting|lost wax process]] and then attached. Lost wax was eventually introduced to China from the ancient Near East as far west as possible, and the process has an early and long history in the region, but exactly when and how it was introduced is unclear. The dewaxing process is more suitable for casting decorations with deep undercuts and openwork designs than the molding process, which complicates the removal of molded parts from the model. Although lost-wax casting was never used to make large vessels, it became more and more popular in the late Eastern Zhou Dynasty and the Qin and Han Dynasties. The lost-wax casting process for casting small parts was more economical than the mold-making process because the amount of metal used was easier to control.",2024-05-18T18:56:23Z,"The earliest archaeological evidence of [[lost wax casting]] in China was found in the sixth century BC. The Cemetery of Chu State in Xichuan, Henan Province.<ref>{{cite book |last1=Lawton |first1=Thomas |title=New Perspectives on Chu Culture During the Eastern Zhou Period}}</ref> Bronze Jin, cast using traditional piece-mold techniques, is further embellished by adding prefabricated ornate open worked handles, which are produced through a lost wax process and then attached. Lost wax was eventually introduced to China from the ancient Near East as far west as possible, and the process has an early and long history in the region, but exactly when and how it was introduced is unclear. The dewaxing process is more suitable for casting decorations with deep undercuts and openwork designs than the molding process, which complicates the removal of molded parts from the model. Although lost-wax casting was never used to make large vessels, it became more and more popular in the late Eastern Zhou Dynasty and the Qin and Han Dynasties. The lost-wax casting process for casting small parts was more economical than the mold-making process because the amount of metal used was easier to control.",2024-05-18T19:25:01Z
1223515110,| caps4 = 51,2024-05-09T01:46:33Z,| caps4 = 52,2024-05-12T17:21:50Z
1208858287,"The '''[[2020–21 in Scottish football|2020–21 season]]''' was [[Celtic F.C.|Celtic]]'s 132nd season of competitive football. They competed in the [[2020–21 Scottish Premiership|Scottish Premiership]], [[2020–21 Scottish League Cup|League Cup]], [[2020–21 Scottish Cup|Scottish Cup]], [[2020–21 UEFA Champions League|UEFA Champions League]] and [[2020–21 UEFA Europa League|UEFA Europa League]]. The club failed to win a trophy for first time since 2010.",2023-08-07T19:59:09Z,"The '''[[2020–21 in Scottish football|2020–21 season]]''' was [[Celtic F.C.|Celtic]]'s 127th season of competitive football. They competed in the [[2020–21 Scottish Premiership|Scottish Premiership]], [[2020–21 Scottish League Cup|League Cup]], [[2020–21 Scottish Cup|Scottish Cup]], [[2020–21 UEFA Champions League|UEFA Champions League]] and [[2020–21 UEFA Europa League|UEFA Europa League]]. The club failed to win a trophy for first time since 2010.",2024-02-19T06:51:05Z
1221370671,| caps2 = 0,2024-04-27T12:30:28Z,| caps2 = 1,2024-04-29T14:48:59Z
1196252478,"Post-secondary campuses in North America already provide accessibility to some programs that are both feasible to deliver and facilitate comprehensive screening.<ref name="":21"" /><ref name="":22"" /><ref name="":27"" /> The Healthy Body Image Program is an online platform intended to screen and deliver tailored interventions to students on campuses.<ref>{{cite journal | vauthors = Wilfley DE, Agras WS, Taylor CB | title = Reducing the burden of eating disorders: a model for population-based prevention and treatment for university and college campuses | journal = The International Journal of Eating Disorders | volume = 46 | issue = 5 | pages = 529–32 | date = July 2013 | pmid = 23658106 | pmc = 3703768 | doi = 10.1002/eat.22117 }}</ref> The program labels students as low- or high-risk, or identifies those with a possible clinical/subclinical eating disorder.<ref name=""A screening tool for detecting eati"">{{cite journal | vauthors = Graham AK, Trockel M, Weisman H, Fitzsimmons-Craft EE, Balantekin KN, Wilfley DE, Taylor CB | title = A screening tool for detecting eating disorder risk and diagnostic symptoms among college-age women | journal = Journal of American College Health | volume = 67 | issue = 4 | pages = 357–366 | date = 2019-05-19 | pmid = 29979922 | pmc = 6320726 | doi = 10.1080/07448481.2018.1483936 }}</ref> It subsequently offers suitable evidence-based online interventions or a referral to a specialized physician in order to address risks and clinical status.<ref name=""A screening tool for detecting eati"" /> Educational campaigns intended to deliver factual knowledge regarding eating disorders and helpful resources have proven to be most successful when targeting students.<ref name="":22"" /> Although many colleges in the United States offer annual or bi-annual education programs, very few do so on a monthly or weekly basis, which can impact students’ ability to access proper services.<ref name="":22"" /> Efficacy of treatments are also reported when there is an emphasis on holistic health and interactive components.<ref name="":27"" /> Increasing media literacy, specifically concerning distorted media representation of body image, and promoting body satisfaction can improve management skills and encourage positive relationship building.<ref>{{cite journal | vauthors = Stice E, Shaw H, Marti CN | title = A meta-analytic review of eating disorder prevention programs: encouraging findings | journal = Annual Review of Clinical Psychology | volume = 3 | issue = 1 | pages = 207–31 | date = April 2007 | pmid = 17716054 | doi = 10.1146/annurev.clinpsy.3.022806.091447 }}</ref> Interventions that aid students in recognizing risk factors, such as sociocultural pressure for certain body types, body dissatisfaction, poor self esteem, and challenges with weight management deliver improvements in regards to body satisfaction.<ref>{{cite journal | vauthors = McVey GL, Kirsh G, Maker D, Walker KS, Mullane J, Laliberte M, Ellis-Claypool J, Vorderbrugge J, Burnett A, Cheung L, Banks L | display-authors = 6 | title = Promoting positive body image among university students: A collaborative pilot study | journal = Body Image | volume = 7 | issue = 3 | pages = 200–4 | date = June 2010 | pmid = 20227934 | doi = 10.1016/j.bodyim.2010.02.005 }}</ref><ref>{{cite journal | vauthors = Stice E, Fisher M, Martinez E | s2cid = 17165018 | title = Eating disorder diagnostic scale: additional evidence of reliability and validity | journal = Psychological Assessment | volume = 16 | issue = 1 | pages = 60–71 | date = March 2004 | pmid = 15023093 | doi = 10.1037/1040-3590.16.1.60 }}</ref><ref>{{cite journal | vauthors = Yager Z, O'Dea JA | title = Prevention programs for body image and eating disorders on University campuses: a review of large, controlled interventions | journal = Health Promotion International | volume = 23 | issue = 2 | pages = 173–89 | date = June 2008 | pmid = 18263883 | doi = 10.1093/heapro/dan004 | doi-access = free }}</ref> Additionally, interventions that promote weight control through healthy dietary techniques, utilize persuasion principles (e.g. foot-in-the-door method), and include motivational enhancement exercises have been reported to improve weight gain and functional impairment.<ref>{{cite journal | vauthors = Yager Z, O'Dea J | title = A controlled intervention to promote a healthy body image, reduce eating disorder risk and prevent excessive exercise among trainee health education and physical education teachers | journal = Health Education Research | volume = 25 | issue = 5 | pages = 841–52 | date = October 2010 | pmid = 20656796 | doi = 10.1093/her/cyq036 | doi-access = free }}</ref>",2023-12-16T19:55:15Z,"Post-secondary campuses in North America already provide accessibility to some programs that are both feasible to deliver and facilitate comprehensive screening.<ref name="":21"" /><ref name="":22"" /><ref name="":27"" /> The Healthy Body Image Program is an online platform intended to screen and deliver tailored interventions to students on campuses.<ref>{{cite journal | vauthors = Wilfley DE, Agras WS, Taylor CB | title = Reducing the burden of eating disorders: a model for population-based prevention and treatment for university and college campuses | journal = The International Journal of Eating Disorders | volume = 46 | issue = 5 | pages = 529–32 | date = July 2013 | pmid = 23658106 | pmc = 3703768 | doi = 10.1002/eat.22117 }}</ref> The program labels students as low- or high-risk, or identifies those with a possible clinical/subclinical eating disorder.<ref name=""A screening tool for detecting eati"">{{cite journal | vauthors = Graham AK, Trockel M, Weisman H, Fitzsimmons-Craft EE, Balantekin KN, Wilfley DE, Taylor CB | title = A screening tool for detecting eating disorder risk and diagnostic symptoms among college-age women | journal = Journal of American College Health | volume = 67 | issue = 4 | pages = 357–366 | date = 2019-05-19 | pmid = 29979922 | pmc = 6320726 | doi = 10.1080/07448481.2018.1483936 }}</ref> It subsequently offers suitable evidence-based online interventions or a referral to a specialized physician in order to address risks and clinical status.<ref name=""A screening tool for detecting eati"" /> Educational campaigns intended to deliver factual knowledge regarding eating disorders and helpful resources have proven to be most successful when targeting students.<ref name="":22"" /> Although many colleges in the United States offer annual or bi-annual education programs, very few do so on a monthly or weekly basis, which can impact students’ ability to access proper services.<ref name="":22"" /> Efficacy of treatments are also reported when there is an emphasis on holistic health and interactive components.<ref name="":27"" /> Increasing media literacy, specifically concerning distorted media representation of body image, and promoting body satisfaction can improve management skills and encourage positive relationship building.<ref>{{cite journal | vauthors = Stice E, Shaw H, Marti CN | title = A meta-analytic review of eating disorder prevention programs: encouraging findings | journal = Annual Review of Clinical Psychology | volume = 3 | issue = 1 | pages = 207–31 | date = April 2007 | pmid = 17716054 | doi = 10.1146/annurev.clinpsy.3.022806.091447 }}</ref> Interventions that aid students in recognizing risk factors, such as sociocultural pressure for certain body types, body dissatisfaction, poor self esteem, and challenges with weight management deliver improvements in regards to body satisfaction.<ref>{{cite journal | vauthors = McVey GL, Kirsh G, Maker D, Walker KS, Mullane J, Laliberte M, Ellis-Claypool J, Vorderbrugge J, Burnett A, Cheung L, Banks L | display-authors = 6 | title = Promoting positive body image among university students: A collaborative pilot study | journal = Body Image | volume = 7 | issue = 3 | pages = 200–4 | date = June 2010 | pmid = 20227934 | doi = 10.1016/j.bodyim.2010.02.005 }}</ref><ref>{{cite journal | vauthors = Stice E, Fisher M, Martinez E | s2cid = 17165018 | title = Eating disorder diagnostic scale: additional evidence of reliability and validity | journal = Psychological Assessment | volume = 16 | issue = 1 | pages = 60–71 | date = March 2004 | pmid = 15023093 | doi = 10.1037/1040-3590.16.1.60 }}</ref><ref>{{cite journal | vauthors = Yager Z, O'Dea JA | title = Prevention programs for body image and eating disorders on University campuses: a review of large, controlled interventions | journal = Health Promotion International | volume = 23 | issue = 2 | pages = 173–89 | date = June 2008 | pmid = 18263883 | doi = 10.1093/heapro/dan004 | doi-access = free }}</ref> Additionally, interventions that promote weight control through healthy dietary techniques, utilize persuasion principles (e.g. foot-in-the-door method), and include motivational enhancement exercises have been reported to improve weight gain and functional impairment.<ref>{{cite journal | vauthors = Yager Z, O'Dea J | title = A controlled intervention to promote a healthy body image, reduce eating disorder risk and prevent excessive exercise among trainee health education and physical education teachers | journal = Health Education Research | volume = 25 | issue = 5 | pages = 841–52 | date = October 2010 | pmid = 20656796 | doi = 10.1093/her/cyq036 | doi-access = free | url = https://vuir.vu.edu.au/22415/1/Final%20Pre-print%20version%20HER%20paper%20Yager%20and%20ODea.pdf }}</ref>",2024-01-16T23:11:58Z
